,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
2071,5164,tt5501104,Border,2018,"Crime,Drama,Fantasy",Ali Abbasi,7.0,36097,0.0894957005695771,
2072,8357,tt5117428,Wild Rose,2018,"Drama,Music",Tom Harper,7.1,16100,0.0404871537884365,
2073,8964,tt6857988,I Am Not an Easy Man,2018,"Comedy,Fantasy,Romance",Eléonore Pourriat,6.3,16082,0.0358850561238869,
2074,9986,tt5979872,Bleach,2018,"Action,Adventure,Fantasy",Shinsuke Satô,6.3,13301,0.029679587831353,
2075,1287,tt5848272,Ralph Breaks the Internet,2018,"Adventure,Animation,Comedy","None,Rich Moore",7.0,194526,0.4822905130342567,529323962
2076,4719,tt8781414,Freaks,2018,"Drama,Mystery,Sci-Fi","Zach Lipovsky,Adam B. Stein",6.7,43088,0.1022501988655606,
2077,6498,tt6533240,Night Hunter,2018,"Action,Adventure,Crime",David Raymond,5.9,29574,0.061800943121524,
2078,1483,tt2231461,Rampage,2018,"Action,Adventure,Sci-Fi",Brad Peyton,6.1,193811,0.418736944743532,428128233
2079,10476,tt7121252,On My Skin: The Last Seven Days of Stefano Cucchi,2018,"Biography,Drama",Alessio Cremonini,7.3,10518,0.0271949991242364,
2080,2368,tt8075192,Shoplifters,2018,"Crime,Drama,Thriller",Hirokazu Koreeda,7.9,91321,0.2555234557938863,67999335
2081,8673,tt5968274,The Angel,2018,"Action,Biography,Drama",Ariel Vromen,6.7,16042,0.0380685501810556,
2082,5819,tt4357394,Tau,2018,"Horror,Sci-Fi,Thriller",Federico D'Alessandro,5.8,36163,0.0742891633821812,
2083,11835,tt6063050,Acrimony,2018,"Drama,Horror,Romance",Tyler Perry,5.9,10472,0.021883393398546,46403669
2084,3273,tt3892172,Leave No Trace,2018,"Adventure,Drama",Debra Granik,7.1,67838,0.1705942570621093,
2085,4702,tt4669788,On the Basis of Sex,2018,"Biography,Drama,History",Mimi Leder,7.1,40852,0.102731751960572,38673750
2086,10905,tt7862330,Stranger in My Pocket,2018,"Comedy,Drama",Serra Yilmaz,6.8,10498,0.0252841584743491,
2087,332,tt1270797,Venom,2018,"Action,Adventure,Sci-Fi",Ruben Fleischer,6.6,576288,1.34715179620367,856085151
2088,7606,tt7133686,Next Gen,2018,"Action,Adventure,Animation","Kevin R. Adams,None",6.6,20284,0.0474166164039425,
2089,4313,tt5177088,The Girl in the Spider's Web,2018,"Action,Adventure,Crime",Fede Alvarez,6.1,53952,0.1165656007285605,35164920
2090,1879,tt7401588,Instant Family,2018,"Comedy,Drama",Sean Anders,7.3,127066,0.3285377218787054,120556201
2091,2673,tt5688932,Sorry to Bother You,2018,"Comedy,Drama,Fantasy",Boots Riley,6.9,91564,0.2237725804517749,
2092,5492,tt5619332,Life of the Party,2018,Comedy,,5.6,40814,0.0809524896372933,65659911
2093,1098,tt5104604,Isle of Dogs,2018,"Adventure,Animation,Comedy",Wes Anderson,7.8,199485,0.551109465603997,64241499
2094,3170,tt6908274,Mirage,2018,"Drama,Fantasy,Mystery",Oriol Paulo,7.4,67974,0.1781589192367456,
2095,7796,tt7451284,Batman Ninja,2018,"Action,Animation,Sci-Fi",Junpei Mizusaki,5.6,23019,0.0456570137443243,
